"","ID","type","context","pluginUserID","timestamp","userScreenName","userName"
"57",93741,"profileSummaryViewed","https://twitter.com/",7,1434452534,"@Lennart_Benz","BernhardHiergeist"
"58",93941,"profileSummaryViewed","https://twitter.com/",7,1434466316,"@MJMcKean","MichaelMcKeanVerifizierterAccount"
"59",95067,"profileSummaryViewed","https://twitter.com/",7,1434535590,"@dominikus","DominikusBaur"
"60",97774,"profileSummaryViewed","https://twitter.com/",7,1434611745,"@SZ_Politik","SZPolitikVerifizierterAccount"
"61",99503,"profileSummaryViewed","https://twitter.com/",7,1434705782,"@Sing2X","Sing"
"62",105412,"profileSummaryViewed","https://twitter.com/hashtag/Gomez?src=tren",7,1434973903,"@ULattek","UdoLattek"
"63",107931,"profileSummaryViewed","https://twitter.com/",7,1435144404,"@TargA01","KristofferM"
"64",108351,"profileSummaryViewed","https://twitter.com/",7,1435225399,"@scarybeasts","ChrisEvans"
"65",115896,"profileSummaryViewed","https://twitter.com/",7,1435659489,"@SZ_Politik","SZPolitikVerifizierterAccount"
"66",131797,"profileSummaryViewed","https://twitter.com/",7,1436361426,"@UoNComputerSci","UoNComputerScience"
"67",140791,"profileSummaryViewed","https://twitter.com/",7,1436872902,"@BSchweinsteiger","BastiSchweinsteigerVerifizierterAccount"
"68",143190,"profileSummaryViewed","https://twitter.com/i/notifications",7,1436950313,"@MichaPummeluff","MichaelaWaldmann"
"69",143434,"profileSummaryViewed","https://twitter.com/",7,1436972321,"@snobstudent","M"
"70",155138,"profileSummaryViewed","https://twitter.com/",7,1437401801,"@AIDpodcast","AdventuresInDesign"
"71",162352,"profileSummaryViewed","https://twitter.com/",7,1437733970,"@LindseyGrahamSC","LindseyGrahamVerifizierterAccount"
"72",1136,"profileSummaryViewed","https://twitter.com/",8,1427449609,"@t3n","t3nMagazinVerifiedaccount"
"73",1767,"profileSummaryViewed","https://twitter.com/i/notifications",8,1427798697,"@VisionRapp","VISION."
"74",4173,"profileSummaryViewed","https://twitter.com/",8,1428260476,"@ajitjohnson_n","AjitJohnsonNirmal"
"75",4314,"profileSummaryViewed","https://twitter.com/layinontrees/status/571415198432686080",8,1428339872,"@layinontrees","JohnAigner"
"76",9034,"profileSummaryViewed","https://twitter.com/i/notifications",8,1429259079,"@jupojp","JulianPörsch"
"77",9105,"profileSummaryViewed","https://twitter.com/",8,1429276137,"@layinontrees","JohnAigner"
"78",9177,"profileSummaryViewed","https://twitter.com/",8,1429276780,"@golem","Golem.deVerifiedaccount"
"79",9199,"profileSummaryViewed","https://twitter.com/i/discover",8,1429276845,"@uxmag","UXMagazine"
"80",11655,"profileSummaryViewed","https://twitter.com/hashtag/happyBirthdayJulian?src=tren",8,1429609197,"@julienco_","JulianVerifiedaccount"
"81",13485,"profileSummaryViewed","https://twitter.com/",8,1429693433,"@delsweil","DavidElsweiler"
"82",13543,"profileSummaryViewed","https://twitter.com/",8,1429693561,"@delsweil","DavidElsweiler"
"83",13904,"profileSummaryViewed","https://twitter.com/i/notifications",8,1429694422,"@lektorskiy2","MiaFowler"
"84",15748,"profileSummaryViewed","https://twitter.com/",8,1429860474,"@Real_CSS_Tricks","CSS-Tricks"
"85",15841,"profileSummaryViewed","https://twitter.com/",8,1429866014,"@9GAG","9GAG"
"86",16138,"profileSummaryViewed","https://twitter.com/",8,1429954574,"@layinontrees","JohnAigner"
"87",16268,"profileSummaryViewed","https://twitter.com/",8,1429954955,"@TravisBTP","TravisMendes"
"88",17465,"profileSummaryViewed","https://twitter.com/i/notifications",8,1430142861,"@dbeniwal21","DineshBeniwal"
"89",19732,"profileSummaryViewed","https://twitter.com/",8,1430295081,"@t3n","t3nMagazinVerifiedaccount"
"90",19935,"profileSummaryViewed","https://twitter.com/i/notifications",8,1430298459,"@felixkalley","FelixKalley"
"91",20152,"profileSummaryViewed","https://twitter.com/search?q=%23kftf&src=typd",8,1430300051,"@mattesgoertz","MatthiasGörtz"
"92",37460,"profileSummaryViewed","https://twitter.com/",8,1431684993,"@8urghardt","ManuelBurghardt"
"93",57198,"profileSummaryViewed","https://twitter.com/search?q=%23wallpaper&src=typd&vertical=default&f=images",8,1432978308,"@dsktps","dsktps"
"94",131558,"profileSummaryViewed","https://twitter.com/search?q=%40Eslocuraporti&src=typd",8,1436343852,"@Eslocuraporti","??Locuraporti??"
"95",135980,"profileSummaryViewed","https://twitter.com/search?q=SimonFoster01&src=typd",8,1436696801,"@SimonFoster01","SimonFoster"
"96",136194,"profileSummaryViewed","https://twitter.com/Manuelitocr77/status/618938470719885312/photo/1",8,1436698339,"@Manuelitocr77","ManuelCañenguezR."
"97",138434,"profileSummaryViewed","https://twitter.com/search?q=%40_iMicB&src=typd",8,1436773420,"@_iMicB","MicB"
"98",138487,"profileSummaryViewed","https://twitter.com/search?q=%40Iggy_RitaBR&src=typd",8,1436773582,"@Iggy_RitaBR","Iggy&RitaBR"
"99",143051,"profileSummaryViewed","https://twitter.com/",8,1436948959,"@WIRED","WIREDVerifiedaccount"
"100",143070,"profileSummaryViewed","https://twitter.com/search?q=%40IamMsValeria&src=typd",8,1436949042,"@IamMsValeria","Ms.Valeria?"
"101",143296,"profileSummaryViewed","https://twitter.com/search?q=%40IdkuX3&src=typd",8,1436958732,"@IdkuX3","sehatindo"
"102",150223,"profileSummaryViewed","https://twitter.com/search?q=Apotheken-Umschau&src=typd",8,1437210254,"@AU_de","ApothekenUmschau"
"103",150241,"profileSummaryViewed","https://twitter.com/search?q=ADAC%20motorwelt&src=typd",8,1437210319,"@ADAC","ADACVerifiedaccount"
"104",150253,"profileSummaryViewed","https://twitter.com/search?q=Bleibgesund&src=typd&vertical=default&f=users",8,1437210382,"@BleibGesund","RatgeberGesundheit"
"105",154654,"profileSummaryViewed","https://twitter.com/search?q=die%20zeit&src=typd",8,1437386740,"@DIEZEIT","DIEZEITVerifiedaccount"
"106",154699,"profileSummaryViewed","https://twitter.com/search?q=angela%20merkel&src=typd",8,1437386822,"@Angie_Merkel","AngelaMerkel"
"107",154738,"profileSummaryViewed","https://twitter.com/search?f=users&q=hsbc",8,1437387588,NA,NA
"108",154739,"profileSummaryViewed","https://twitter.com/search?f=users&q=hsbc",8,1437387598,"@HSBC_Press","HSBCPressOfficeVerifiedaccount"
"109",154773,"profileSummaryViewed","https://twitter.com/search?f=users&q=Bnp%20p",8,1437387737,"@BNPPRE","BNPPRealEstateVerifiedaccount"
"110",154780,"profileSummaryViewed","https://twitter.com/search?f=users&q=Allianz%20SE",8,1437387761,"@Allianz","AllianzVerifiedaccount"
"111",154876,"profileSummaryViewed","https://twitter.com/search?f=users&q=bild",8,1437389773,"@BILD","BILDVerifiedaccount"
"112",154882,"profileSummaryViewed","https://twitter.com/",8,1437390553,"@ChristopherJM","ChristopherMillerVerifiedaccount"
"113",1368,"profileSummaryViewed","https://twitter.com/BVG_Kampagne/status/554953647403323393",9,1427717134,"@BVG_Bus","BVGBus"
"114",6819,"profileSummaryViewed","https://twitter.com/search?q=bitbucket&src=typd",9,1428932131,"@Bitbucket","AtlassianBitbucket"
"115",6834,"profileSummaryViewed","https://twitter.com/",9,1428932194,"@Bitbucket","AtlassianBitbucket"
"116",27579,"profileSummaryViewed","https://twitter.com/DanNerdCubed/status/596342570722131968",9,1431073235,NA,NA
"117",37771,"profileSummaryViewed","https://twitter.com/search?q=larakaaa&src=typd",9,1431699360,"@LaraKaaa","UnbreakableLaraKaa"
"118",65249,"profileSummaryViewed","https://twitter.com/DanNerdCubed/status/603176567456530432",9,1433258781,"@DanNerdCubed","Nerd³"
"119",65268,"profileSummaryViewed","https://twitter.com/ThatRoyalNob/status/605756755990204417",9,1433258884,"@DanNerdCubed","Nerd³"
"120",145825,"profileSummaryViewed","https://twitter.com/i/notifications",9,1437050982,"@MichaPummeluff","MichaelaWaldmann"
"121",146035,"profileSummaryViewed","https://twitter.com/i/notifications",9,1437058716,"@MichaPummeluff","MichaelaWaldmann"
"122",1035,"profileSummaryViewed","https://twitter.com/",11,1427368861,"@janboehm","JanBöhmermannVerifizierterAccount"
"123",1594,"profileSummaryViewed","https://twitter.com/",16,1427776092,"@Doener","StephanDörnerVerifizierterAccount"
"124",2100,"profileSummaryViewed","https://twitter.com/",16,1427880436,"@heisedc","heiseDeveloperVerifizierterAccount"
"125",2627,"profileSummaryViewed","https://twitter.com/",16,1427968026,"@therealmoneyboy","MoneyBoy"
"126",7663,"profileSummaryViewed","https://twitter.com/",16,1429090133,"@Doener","StephanDörnerVerifizierterAccount"
"127",21867,"profileSummaryViewed","https://twitter.com/i/notifications",16,1430393501,"@laura_becki","LauraBecki"
"128",79833,"profileSummaryViewed","https://twitter.com/MedienInfRgb/status/607947360694636544/photo/1",16,1433782094,"@MedienInfRgb","MedieninformatikRgb"
"129",79839,"profileSummaryViewed","https://twitter.com/MedienInfRgb/status/607947360694636544/photo/1",16,1433782105,"@MedienInfRgb","MedieninformatikRgb"
"130",133363,"profileSummaryViewed","https://twitter.com/martinsonneborn/status/567716942858162176",16,1436437440,NA,NA
"131",167660,"profileSummaryViewed","https://twitter.com/oOtrinityOo/status/74920817900785664",16,1438037703,NA,NA
"132",1654,"profileSummaryViewed","https://twitter.com/i/notifications",17,1427787433,"@ElsePulley","ElsePulley"
"133",4400,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428404206,"@cambo225","campruitt"
"134",4431,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428404239,"@IcemoonPromo_UK","Promo|#NowPlaying"
"135",4464,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428404269,"@ElsePulley","ElsePulley"
"136",4488,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428404335,"@DrakeDominates","DrakeDominates"
"137",6134,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428840857,"@KnowYourSong","KnowYourSong.com"
"138",6154,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428840885,"@1996Tommy","Global"
"139",6163,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428840901,"@tone_does_it","hustleboyzent"
"140",6171,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428840908,"@alucard239","AlucardPhoenix"
"141",6179,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428840919,"@IcemoonPromo_UK","Promo|#NowPlaying"
"142",6186,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428840978,"@ElsePulley","ElsePulley"
"143",6192,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428840991,"@JunadStackz","Junad"
"144",6208,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428841012,"@JayZEternal","Jay-ZEternal"
"145",6215,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428841019,"@JayzJournal","Jay-zJournal"
"146",6233,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428841340,NA,NA
"147",6264,"profileSummaryViewed","https://twitter.com/fucktyler/status/586016081715658752",17,1428852601,NA,NA
"148",6301,"profileSummaryViewed","https://twitter.com/fucktyler/status/587310239080300545",17,1428860882,"@fucktyler","Tyler,TheCreatorVerifiedaccount"
"149",7234,"profileSummaryViewed","https://twitter.com/i/notifications",17,1428950610,"@tricradio","Tri-CRadio"
"150",7268,"profileSummaryViewed","https://twitter.com/",17,1428950716,"@badbadnotgood","BADBADNOTGOODIII:)Verifiedaccount"
"151",9284,"profileSummaryViewed","https://twitter.com/hashtag/RecordStoreDay?src=tren",17,1429368188,"@cactus_music","cactus_music"
"152",9295,"profileSummaryViewed","https://twitter.com/hashtag/RecordStoreDay?src=tren",17,1429368495,"@gardenandgunmag","Garden&Gun"
"153",9608,"profileSummaryViewed","https://twitter.com/",17,1429370856,"@fucktyler","Tyler,TheCreatorVerifiedaccount"
"154",9641,"profileSummaryViewed","https://twitter.com/cesera_suarez22/status/589254795191451648",17,1429371072,"@dash_radio","DashRadio"
"155",10092,"profileSummaryViewed","https://twitter.com/fucktyler/status/588436875381096448/photo/1",17,1429451508,NA,NA
"156",10097,"profileSummaryViewed","https://twitter.com/i/notifications",17,1429451531,"@jennifercandee","JenniferCandee"
"157",10143,"profileSummaryViewed","https://twitter.com/",17,1429456021,"@Maya_Adachi","Maya"
"158",16780,"profileSummaryViewed","https://twitter.com/hashtag/wch10",17,1430064576,"@scaryperry818","PerryF.Caravello"
"159",16785,"profileSummaryViewed","https://twitter.com/hashtag/wch10",17,1430064588,"@SimplyDon1","DonBarris"
"160",19485,"profileSummaryViewed","https://twitter.com/",17,1430244793,NA,NA
"161",25858,"profileSummaryViewed","https://twitter.com/i/notifications",17,1430843126,NA,NA
"162",28521,"profileSummaryViewed","https://twitter.com/whit537/status/215233861012041728",17,1431183244,"@seanharper","seanharper"
"163",42759,"profileSummaryViewed","https://twitter.com/fucktyler/status/599674830892445697",17,1431884774,"@OG_PrivateJoy","BeejayIvie"
"164",49979,"profileSummaryViewed","https://twitter.com/i/notifications",17,1432551177,"@RodneyAnon","RodneyAnonymous"
"165",49987,"profileSummaryViewed","https://twitter.com/i/notifications",17,1432551187,"@anidemjb","Lisa"
"166",55036,"profileSummaryViewed","https://twitter.com/i/notifications",17,1432807339,"@PolReddit","PoliticsNews"
"167",55872,"profileSummaryViewed","https://twitter.com/earlxsweat/status/385226050482872320",17,1432836570,NA,NA
"168",61349,"profileSummaryViewed","https://twitter.com/",17,1433094204,"@OG_PrivateJoy","BeejayIvie"
"169",68916,"profileSummaryViewed","https://twitter.com/hashtag/edexcelmaths",17,1433444659,"@hannahkaty","Hannah"
"170",68929,"profileSummaryViewed","https://twitter.com/hashtag/edexcelmaths",17,1433444714,"@EdexcelMaths","EdexcelMathsPapers"
"171",79661,"profileSummaryViewed","https://twitter.com/whoarehigh",17,1433776549,"@IndyMusicVibe","317:IndyMusicVibe"
"172",79664,"profileSummaryViewed","https://twitter.com/dash_oddfuture",17,1433776621,NA,NA
"173",79665,"profileSummaryViewed","https://twitter.com/dash_oddfuture",17,1433776624,"@dash_oddfuture","OFRADIONOWPLAYING"
"174",79692,"profileSummaryViewed","https://twitter.com/TylerTaughtHer",17,1433776810,"@ShannonIhrke","ShannonIhrke"
